interaction_id,user_id,campaign_id,interaction_date,interaction_type,converted
INT-0000001,737,CMP-0022,15/10/2025, Email Open , No 
INT-0000002,1196,CMP-0011,14 Dec 2025, Trial Signup , No
INT-0000003,120,CMP-0011,09/29/2025,IMPRESSION, No
INT-0000004,755,CMP-0010,02/07/2025,email open,no
INT-0000005,1252,CMP-0009,"Mar 02, 2025", Trial Signup,No 
INT-0000006,633,CMP-0026,"Oct 13, 2025",EMAIL OPEN,No 
INT-0000007,1039,CMP-0009,07-09-2025,Demo Request ,No 
INT-0000008,129,CMP-0026,"Jan 06, 2025",Click ,no
INT-0000009,946,CMP-0012,2025-07-26,Email Open,no
INT-0000010,807,CMP-0025,"May 06, 2025",impression,no
INT-0000011,256,CMP-0009,05-02-2025, Demo Request , No 
INT-0000012,434,CMP-0023,07-04-2025,website visit, Yes
INT-0000013,1418,CMP-0028,18 Sep 2025, Demo Request,No
INT-0000014,846,CMP-0019,11/09/2025,Demo Request , No 
INT-0000015,155,CMP-0025,07/30/2025,Email Open , No 
INT-0000016,465,CMP-0029,16-05-2025,Impression,no
INT-0000017,1455,CMP-0009,06/08/2025,click,no
INT-0000018,41,CMP-0016,07-01-2025,trial signup, No
INT-0000019,1186,CMP-0002,"Nov 08, 2025", Click ,No 
INT-0000020,68,CMP-0013,"Nov 04, 2025", Impression,YES
INT-0000021,145,CMP-0017,06/02/2025, Website Visit ,yes
INT-0000022,822,CMP-0002,2025-05-28, Click, Yes 
INT-0000023,1346,CMP-0016,24/07/2025, Email Open, No 
INT-0000024,361,CMP-0006,08/30/2025,Impression,yes
INT-0000025,444,CMP-0019,10/19/2025, Website Visit , Yes 
INT-0000026,1122,CMP-0023,09 May 2025, Impression ,no
INT-0000027,301,CMP-0011,08/12/2025,WEBSITE VISIT, Yes
INT-0000028,625,CMP-0020,13 May 2025,IMPRESSION,No 
INT-0000029,72,CMP-0018,13-10-2025,Trial Signup,No 
INT-0000030,454,CMP-0007,"May 13, 2025", Demo Request ,No 
INT-0000031,943,CMP-0023,09/12/2025,Email Open ,No
INT-0000032,144,CMP-0026,18/06/2025,Trial Signup,No
INT-0000033,550,CMP-0022,03/15/2025, Email Open ,No
INT-0000034,289,CMP-0012,09/10/2025, Email Open,NO
INT-0000035,1247,CMP-0008,12/04/2025,Trial Signup , No 
INT-0000036,825,CMP-0014,"Mar 23, 2025", Click , No 
INT-0000037,1323,CMP-0006,22/05/2025,demo request,no
INT-0000038,733,CMP-0008,"Aug 09, 2025", Click ,Yes
INT-0000039,1315,CMP-0030,28 May 2025,Demo Request , No 
INT-0000040,362,CMP-0022,2025-03-03,Impression , Yes
INT-0000041,750,CMP-0017,28 Mar 2025,click,No
INT-0000042,238,CMP-0027,05/29/2025,Website Visit,NO
INT-0000043,667,CMP-0017,04-02-2025,Demo Request , No 
INT-0000044,818,CMP-0020,02-07-2025,Website Visit , No 
INT-0000045,294,CMP-0009,12/06/2025,Email Open ,YES
INT-0000046,326,CMP-0004,01-06-2025,impression,No
INT-0000047,521,CMP-0026,26-10-2025,impression,NO
INT-0000048,282,CMP-0030,03/20/2025,TRIAL SIGNUP, No 
INT-0000049,454,CMP-0024,08 Oct 2025, Demo Request,NO
INT-0000050,770,CMP-0005,27/10/2025, Click ,No
INT-0000051,146,CMP-0010,2025-05-12,EMAIL OPEN,NO
INT-0000052,1371,CMP-0020,2025-09-02,Demo Request ,No
INT-0000053,354,CMP-0018,26/03/2025, Website Visit , No
INT-0000054,1203,CMP-0022,18-02-2025,Website Visit, No 
INT-0000055,868,CMP-0012,04 Apr 2025,website visit,No 
INT-0000056,522,CMP-0014,"Jun 04, 2025", Click , No
INT-0000057,1035,CMP-0016,24/11/2025,Email Open,Yes
INT-0000058,1483,CMP-0006,2025-07-03, Impression, No
INT-0000059,1464,CMP-0020,2025-06-06,Trial Signup ,Yes
INT-0000060,347,CMP-0001,05-05-2025, Impression,No 
INT-0000061,789,CMP-0004,08/03/2025, Website Visit,No 
INT-0000062,1467,CMP-0017,04/04/2025,Email Open, No 
INT-0000063,1000,CMP-0007,04 Feb 2025, Click,No
INT-0000064,1069,CMP-0022,11/08/2025, Trial Signup , No
INT-0000065,1359,CMP-0005,27-06-2025,CLICK,No
INT-0000066,1301,CMP-0006,08/28/2025, Demo Request ,No
INT-0000067,39,CMP-0001,20-12-2025,impression,NO
INT-0000068,894,CMP-0003,"Feb 14, 2025",Click,No
INT-0000069,153,CMP-0014,14 Apr 2025, Email Open ,no
INT-0000070,794,CMP-0011,28 Nov 2025, Demo Request ,No
INT-0000071,1163,CMP-0029,"Feb 06, 2025",click,No
INT-0000072,1460,CMP-0009,"Nov 05, 2025",Email Open ,No
INT-0000073,573,CMP-0019,2025-03-16,demo request,yes
INT-0000074,1100,CMP-0002,2025-06-04, Impression,Yes
INT-0000075,41,CMP-0020,01 Sep 2025, Click ,no
INT-0000076,13,CMP-0017,03-11-2025,Website Visit , No
INT-0000077,347,CMP-0003,"May 02, 2025",IMPRESSION,no
INT-0000078,5,CMP-0018,14-11-2025,Trial Signup ,no
INT-0000079,1447,CMP-0026,21/12/2025, Click ,NO
INT-0000080,677,CMP-0017,"Apr 12, 2025", Website Visit ,NO
INT-0000081,768,CMP-0016,07/16/2025,Impression, No
INT-0000082,1225,CMP-0011,"Jun 06, 2025", Impression ,NO
INT-0000083,271,CMP-0012,2025-04-27, Website Visit ,No 
INT-0000084,993,CMP-0017,27/04/2025,Impression,No 
INT-0000085,1157,CMP-0025,2025-12-30, Trial Signup,no
INT-0000086,152,CMP-0030,2025-09-28,Impression,no
INT-0000087,500,CMP-0006,27/10/2025,Trial Signup,No 
INT-0000088,593,CMP-0029,19 Jul 2025,DEMO REQUEST,No
