subscription_id,user_id,plan,billing_cycle,start_date,end_date,monthly_fee,discount,status
SUB-000001,1183, Business,Annual,06/02/2025,22-08-2025,$280.82, 10% ,PAUSED
SUB-000002,107,Starter, Monthly,10/29/2025,,54.55,15%,ACTIVE
SUB-000003,326,professional, Annual ,"May 07, 2025",,USD 160.27,5%, Active 
SUB-000004,35,professional, Annual,2025-12-29,,USD 162.93, 20% ,Active 
SUB-000005,1495, Business,monthly,"Sep 10, 2025",,USD 290.18,0 %,active
SUB-000006,1081,STARTER,MONTHLY,27/07/2025,"Jun 18, 2026",$47.63,15 %,PAUSED
SUB-000007,1328, Professional ,MONTHLY,28 Feb 2025,,167.85 USD,5.0%, Active 
SUB-000008,1189,starter,annual,08 May 2025,,$48.51,0%, Active 
SUB-000009,809, Starter ,monthly,22 May 2025,2025-06-22,USD 44.87,20%, Paused
SUB-000010,220,STARTER,QUARTERLY,15-03-2025,,51.46, 0% , Active
SUB-000011,1359,starter, Annual ,16 Mar 2025,,45.63 USD,10 %, Active
SUB-000012,561,Professional,Quarterly,02 Jan 2025,,163.77, 5% ,active
SUB-000013,847, Starter,Quarterly,14-03-2025,,$52,5%,Active 
SUB-000014,931, Starter, Annual,04/25/2025,,54.82 USD,10 %,active
SUB-000015,898,enterprise,Monthly ,"May 01, 2025",,USD 875.87,15.0%,Active
SUB-000016,549,BUSINESS, Annual ,11-05-2025,2026-03-01,$277.48,10%,cancelled
SUB-000017,580,Starter ,monthly,09 Dec 2025,29-10-2026,$49,20%,paused
SUB-000018,41,Starter, Annual,11/10/2025,,53.59 USD,10%, Active 
SUB-000019,628,business, Quarterly ,09-05-2025,04 Apr 2026,$300, 10% ,Cancelled
SUB-000020,779,PROFESSIONAL, Monthly,06/05/2025,,$170, 10% , Active
SUB-000021,467,professional,annual,09-01-2025,2025-11-24,161.51 USD,0 %, Cancelled
SUB-000022,1096, Enterprise ,monthly,22/02/2025,04 Nov 2025,722.20 USD,20.0%,CANCELLED
SUB-000023,199, Free ,Monthly ,28-10-2025,,0.00 USD,10%,ACTIVE
SUB-000024,485,professional,Monthly,09-05-2025,26 Apr 2026,137.85,20.0%, Cancelled 
SUB-000025,1426,Business,Quarterly ,"Apr 21, 2025",11/07/2025,$280, 10% ,Cancelled
SUB-000026,875,Professional, Quarterly ,2025-08-20,,USD 161.46,5%, Active 
SUB-000027,564,starter,monthly,30/04/2025,09/07/2025,54.70,5%, Cancelled 
SUB-000028,921,STARTER, Monthly ,01/17/2025,,USD 50.67,5 %,active
SUB-000029,1409,FREE,Monthly,"Aug 31, 2025",,0.00 USD,5 %,Active
