ticket_id,user_id,opened_date,category,priority,resolution_hours,satisfaction,ticket_status
TCK-000001,355,28/09/2025,Security,CRITICAL,8.0,1.0,open
TCK-000002,440,04 Feb 2025, Account ,LOW,14.4,5.0,resolved
TCK-000003,196,12/16/2025, Performance,LOW,10.5,3.0,OPEN
TCK-000004,1420,2025-03-03,Account,Low ,15.8,5.0,Open 
TCK-000005,910,29-10-2025,FEATURE REQUEST,HIGH,14.1,5.0,Closed 
TCK-000006,181,26/03/2025,Feature Request,Medium,23.3,5.0, Pending 
TCK-000007,1341,29 Aug 2025, Performance ,Low,13.2,3.0,Open 
TCK-000008,1230,2025-11-23,Security ,HIGH,14.1,2.0,closed
TCK-000009,1032,08/05/2025, Billing,critical,10.6,3.0, Pending 
TCK-000010,53,2025-08-09,Technical,low,26.7,3.0,Closed
TCK-000011,36,"Aug 16, 2025",Feature Request,Low,6.4,, Pending
TCK-000012,952,"Apr 16, 2025",Performance , Medium,15.2,1.0, Pending
TCK-000013,224,08/27/2025,account,High ,35.8,, Resolved 
TCK-000014,202,2025-02-04,FEATURE REQUEST, Low,5.7,1.0,open
TCK-000015,1329,25-05-2025,Feature Request,high,18.2,, Resolved 
TCK-000016,1169,27-10-2025, Security,medium,63.5,1.0, Resolved 
TCK-000017,1322,2025-12-02,Performance , Critical ,11.0,2.0,Pending
TCK-000018,334,02/12/2025,ACCOUNT,LOW,24.0,, Closed 
TCK-000019,1390,05/19/2025,Billing , Critical,36.8,1.0,RESOLVED
TCK-000020,807,06/28/2025,TECHNICAL, Low,17.6,2.0, Closed
TCK-000021,487,"Jul 21, 2025",Feature Request ,HIGH,9.9,,OPEN
TCK-000022,1438,17 Oct 2025,Feature Request , Low ,4.3,1.0,Pending
TCK-000023,1023,23/10/2025,Performance ,High ,4.4,2.0,resolved
TCK-000024,587,11-06-2025, Performance , High,9.1,2.0,Open 
TCK-000025,1378,23-07-2025,Technical,Medium,15.6,5.0, Closed 
TCK-000026,832,"Jun 22, 2025",BILLING,High,31.4,,Closed
TCK-000027,909,10/05/2025,SECURITY,Medium ,11.2,1.0,RESOLVED
TCK-000028,534,2025-04-28,Feature Request ,low,11.8,2.0, Closed
TCK-000029,397,05 Feb 2025,Account,Medium,15.6,2.0, Closed 
TCK-000030,843,05-08-2025,account,High,49.8,1.0, Resolved
TCK-000031,1385,2025-01-16, Security, Critical,25.8,5.0,open
TCK-000032,1454,12/16/2025,BILLING, High ,9.4,4.0,RESOLVED
TCK-000033,1458,01-05-2025,Security,Critical,38.6,4.0, Resolved 
TCK-000034,881,04-01-2025, Feature Request , Critical ,33.0,,Pending 
TCK-000035,1448,01/04/2025, Security ,Critical ,3.4,, Resolved
TCK-000036,1432,15/02/2025,Billing,Low,3.8,4.0,pending
TCK-000037,141,12-12-2025,Security ,Low,15.7,1.0, Resolved
TCK-000038,1112,"Aug 24, 2025",Feature Request, Medium,10.1,5.0,Pending
TCK-000039,534,04 Jan 2025, Feature Request,CRITICAL,28.5,2.0,Resolved
TCK-000040,124,"Feb 27, 2025",Billing,High ,12.7,1.0,pending
TCK-000041,559,"Jul 01, 2025",Account, Low,5.1,5.0, Pending 
TCK-000042,40,"Jul 19, 2025",ACCOUNT,Low ,34.9,3.0, Resolved
TCK-000043,926,05/31/2025,FEATURE REQUEST, High ,17.5,5.0, Resolved
TCK-000044,6,2025-06-20,Feature Request ,Medium ,16.8,2.0,closed
TCK-000045,932,"Jun 06, 2025",PERFORMANCE,High ,9.4,5.0,Pending
TCK-000046,411,07-01-2025, Account ,Critical,7.0,3.0,CLOSED
TCK-000047,1398,03/10/2025,Security,High,2.0,1.0,Pending
TCK-000048,1427,09 Apr 2025,technical,LOW,0.9,,pending
TCK-000049,1456,2025-08-06,Billing , Medium,7.3,4.0,Pending 
TCK-000050,828,25-07-2025,BILLING, Medium,11.7,3.0, Pending 
TCK-000051,346,"Nov 13, 2025",Security ,Medium ,12.8,, Open
TCK-000052,1042,14-11-2025, Security ,Medium,18.6,1.0, Resolved 
TCK-000053,410,15 Oct 2025, Billing ,Medium ,17.6,, Closed
TCK-000054,436,"Oct 22, 2025",TECHNICAL,Low,32.8,4.0,OPEN
TCK-000055,688,"Dec 24, 2025",ACCOUNT,Medium,31.6,5.0,resolved
TCK-000056,1087,07 Jun 2025, Account ,High ,14.6,5.0,Open
TCK-000057,738,"May 24, 2025",PERFORMANCE, Low,14.5,4.0, Resolved 
TCK-000058,145,03/06/2025,Feature Request, Low,55.0,5.0,Closed
TCK-000059,13,28/11/2025, Security ,High,17.4,3.0, Pending 
TCK-000060,380,14/04/2025,Billing ,HIGH,27.4,2.0,Resolved
TCK-000061,1337,2025-11-26, Technical ,LOW,12.9,3.0,CLOSED
TCK-000062,138,23 Mar 2025, Security ,CRITICAL,17.2,1.0,PENDING
TCK-000063,1074,27-01-2025,ACCOUNT, High,12.7,2.0,Resolved
TCK-000064,1415,03/23/2025, Billing ,Low ,2.6,2.0,CLOSED
TCK-000065,425,"Feb 04, 2025",Account,HIGH,29.9,2.0,resolved
TCK-000066,19,09-09-2025, Security,Medium,8.6,1.0,Pending 
TCK-000067,673,"Apr 15, 2025",Feature Request,Critical ,8.4,5.0,closed
TCK-000068,406,18/07/2025, Account,Medium,9.9,, Resolved 
TCK-000069,140,2025-03-07,account,CRITICAL,22.9,2.0,OPEN
