transaction_id,user_id,transaction_date,amount,payment_method,transaction_type
Q1-TX-000001,1295,2025-03-28,-251.05,Credit Card ,REFUND
Q1-TX-000002,779,19 Feb 2025,278.74,CREDIT CARD,Subscription 
Q1-TX-000003,748,23 Mar 2025,366.75 USD,PayPal, Subscription 
Q1-TX-000004,1434,14-01-2025,USD 333.67, PayPal ,SUBSCRIPTION
Q1-TX-000005,158,2025-02-15,134.27,PayPal,upgrade
Q1-TX-000006,846,"Mar 07, 2025",260.81,CREDIT CARD,Subscription 
Q1-TX-000007,847,02/18/2025,USD 580.56,Credit Card , Upgrade 
Q1-TX-000008,1271,2025-03-06,192.65 USD,Credit Card,Upgrade 
Q1-TX-000009,1237,2025-02-23,$244, Credit Card, Subscription
Q1-TX-000010,700,19 Feb 2025,USD -76.39,Credit Card ,REFUND
Q1-TX-000011,517,02/21/2025,296.71,bank transfer,Upgrade 
Q1-TX-000012,1262,2025-01-12,122.17,PayPal ,Subscription 
Q1-TX-000013,647,"Feb 16, 2025",-159.51,credit card, Refund
Q1-TX-000014,330,20-03-2025,-159.44,BANK TRANSFER,Refund 
Q1-TX-000015,471,2025-01-11,104.56 USD, PayPal ,ADD-ON
Q1-TX-000016,994,02/14/2025,204.58,debit card, Upgrade 
Q1-TX-000017,1425,14-01-2025,$-33,BANK TRANSFER,REFUND
Q1-TX-000018,12,02/27/2025,$-72,Debit Card ,Refund 
Q1-TX-000019,900004,15/01/2025,$-124,credit card,Refund 
Q1-TX-000020,69,"Feb 19, 2025",777.45 USD,Credit Card ,ADD-ON
Q1-TX-000021,1338,"Mar 15, 2025",USD 49.75, Credit Card,ADD-ON
Q1-TX-000022,475,2025-02-12,$-331, Debit Card ,Refund
Q1-TX-000023,1221,"Mar 22, 2025",$-304,paypal,REFUND
Q1-TX-000024,1476,2025-01-15,$-146,Bank Transfer , Refund
Q1-TX-000025,1382,2025-01-08,220.20,Bank Transfer ,Add-on
Q1-TX-000026,1185,08 Feb 2025,USD -297.10,credit card,refund
Q1-TX-000027,686,17-02-2025,152.69,PayPal ,Subscription
Q1-TX-000028,738,"Mar 16, 2025",USD 413.19,Bank Transfer ,Subscription
Q1-TX-000029,125,01/17/2025,$523.02,Credit Card,Subscription 
Q1-TX-000030,1204,01/03/2025,USD 217.59,debit card,UPGRADE
Q1-TX-000031,66,13 Mar 2025,108.42, Credit Card ,Add-on 
Q1-TX-000032,901,26/01/2025,301.01 USD,Debit Card,Upgrade 
Q1-TX-000033,1097,02-01-2025,203.25 USD,PayPal ,Upgrade 
Q1-TX-000034,1395,17 Feb 2025,-715.30, Debit Card,REFUND
Q1-TX-000035,283,2025-02-07,-271.91 USD,debit card, Refund
Q1-TX-000036,1062,2025-03-19,$310.25, Credit Card ,ADD-ON
Q1-TX-000037,833,"Mar 12, 2025",341.35,Bank Transfer, Subscription
Q1-TX-000038,169,14-02-2025,USD 265.09,PayPal , Subscription 
Q1-TX-000039,209,"Mar 21, 2025",168.28, PayPal ,upgrade
Q1-TX-000040,1044,"Jan 07, 2025",-137.98 USD, Debit Card, Refund
Q1-TX-000041,615,30/03/2025,338.13,Credit Card ,Subscription 
Q1-TX-000042,1197,2025-02-13,261.56 USD, Credit Card,Upgrade 
Q1-TX-000043,1255,02/16/2025,USD -246.57,Bank Transfer , Refund
Q1-TX-000044,640,02/09/2025,$233.81,debit card, Subscription
Q1-TX-000045,765,"Feb 16, 2025",223.64,bank transfer,SUBSCRIPTION
Q1-TX-000046,900000,13/02/2025,USD 346.33,credit card,UPGRADE
Q1-TX-000047,113,13/03/2025,84.02,debit card,upgrade
Q1-TX-000048,371,"Mar 06, 2025",$104.41,PayPal , Upgrade 
Q1-TX-000049,663,01/03/2025,USD 111.45,Bank Transfer,Upgrade
Q1-TX-000050,902,2025-02-26,211.06,BANK TRANSFER,Upgrade 
Q1-TX-000051,1128,04-03-2025,USD 286.21,PayPal ,ADD-ON
Q1-TX-000052,400,02/03/2025,$285.35, Credit Card,ADD-ON
Q1-TX-000053,139,2025-02-27,-243.36, PayPal , Refund
Q1-TX-000054,582,03 Jan 2025,-259.73 USD,PayPal ,Refund 
Q1-TX-000055,1266,2025-03-16,107.74,Bank Transfer,SUBSCRIPTION
Q1-TX-000056,199,01/31/2025,USD 225.41,Debit Card,UPGRADE
Q1-TX-000057,1094,2025-02-21,146.85,paypal, Upgrade
Q1-TX-000058,94,2025-03-06,USD 244.95, Credit Card , Upgrade 
Q1-TX-000059,847,02/22/2025,$77.64, Debit Card,Subscription 
Q1-TX-000060,704,11 Jan 2025,USD 205.97, Debit Card , Upgrade
Q1-TX-000061,233,"Jan 31, 2025",649.79, PayPal ,Subscription
Q1-TX-000062,177,06 Mar 2025,374.89,Credit Card ,Upgrade 
Q1-TX-000063,737,01/03/2025,263.31,Credit Card , Add-on 
Q1-TX-000064,439,"Feb 27, 2025",-316.89, Bank Transfer, Refund
Q1-TX-000065,927,"Jan 18, 2025",-189.90,credit card,REFUND
Q1-TX-000066,1318,02/14/2025,305.02 USD,paypal,SUBSCRIPTION
Q1-TX-000067,712,"Feb 12, 2025",-21.82,Bank Transfer , Refund 
Q1-TX-000068,804,"Mar 11, 2025",-91.30,CREDIT CARD,refund
Q1-TX-000069,329,01/23/2025,174.02, Bank Transfer ,Subscription 
Q1-TX-000070,351,20 Mar 2025,424.21 USD,Debit Card, Subscription 
Q1-TX-000071,63,17/01/2025,174.35,Credit Card , Add-on
Q1-TX-000072,1035,03/15/2025,$-179,PayPal , Refund 
Q1-TX-000073,1143,29-03-2025,-88.46,CREDIT CARD,Refund 
Q1-TX-000074,1200,11-01-2025,$-171,Credit Card,REFUND
Q1-TX-000075,206,2025-03-25,$524.80,Credit Card ,ADD-ON
Q1-TX-000076,738,28 Mar 2025,257.16 USD,DEBIT CARD,Upgrade
Q1-TX-000077,994,"Feb 10, 2025",112.86,PayPal,Subscription 
Q1-TX-000078,751,"Jan 13, 2025",-337.29,PayPal,REFUND
Q1-TX-000079,106,"Feb 20, 2025",273.23, Bank Transfer ,Upgrade 
Q1-TX-000080,976,14-01-2025,-268.56, Bank Transfer ,Refund
Q1-TX-000081,267,2025-01-07,-472.65 USD, PayPal ,refund
Q1-TX-000082,915,13/02/2025,USD 56.02,PayPal ,ADD-ON
Q1-TX-000083,211,25/03/2025,$-329.43, Bank Transfer,Refund 
Q1-TX-000084,105,15 Feb 2025,406.19,Debit Card ,Add-on
Q1-TX-000085,1443,02/07/2025,$-44.35,bank transfer, Refund 
Q1-TX-000086,1418,"Jan 14, 2025",-193.52 USD, Credit Card, Refund
Q1-TX-000087,1235,19-02-2025,-97.87, Credit Card,REFUND
Q1-TX-000088,67,19 Mar 2025,$172.59,Debit Card, Upgrade 
Q1-TX-000089,1099,28 Feb 2025,$-302,BANK TRANSFER,REFUND
Q1-TX-000090,1358,17 Feb 2025,331.66,credit card,Subscription
Q1-TX-000091,1490,26 Jan 2025,$-581,debit card,refund
Q1-TX-000092,219,03/18/2025,$195,bank transfer, Subscription 
Q1-TX-000093,473,2025-01-06,428.42 USD,Bank Transfer , Subscription
Q1-TX-000094,268,06-02-2025,196.37,PAYPAL,upgrade
Q1-TX-000095,595,08/02/2025,$676,Bank Transfer,Subscription
Q1-TX-000096,1383,"Jan 04, 2025",$327, Credit Card,ADD-ON
Q1-TX-000097,230,"Feb 04, 2025",248.46 USD, Debit Card,subscription
Q1-TX-000098,354,"Feb 27, 2025",USD -117.06,PAYPAL,Refund
Q1-TX-000099,281,03/23/2025,USD 408.72,CREDIT CARD,ADD-ON
Q1-TX-000100,522,24/01/2025,$305.84,CREDIT CARD, Subscription 
Q1-TX-000101,385,"Jan 04, 2025",USD -228.67, Debit Card , Refund 
Q1-TX-000102,904,03/17/2025,$476,Bank Transfer,Add-on 
Q1-TX-000103,775,2025-02-20,593.30,credit card,ADD-ON
Q1-TX-000104,52,04-02-2025,$452.60,CREDIT CARD,add-on
Q1-TX-000105,1142,"Jan 24, 2025",446.72,Bank Transfer , Add-on
Q1-TX-000106,141,21/03/2025,$-248.47, Credit Card,Refund 
Q1-TX-000107,756,09-03-2025,442.39,PayPal , Upgrade
Q1-TX-000108,1288,03/13/2025,$520.02, PayPal , Upgrade
Q1-TX-000109,600,01/07/2025,362.94,PayPal, Upgrade
Q1-TX-000110,120,14/01/2025,330.93, PayPal ,Subscription 
Q1-TX-000111,922,19 Feb 2025,152.81 USD,debit card, Add-on 
Q1-TX-000112,149,26-01-2025,USD 229.48, PayPal , Add-on 
Q1-TX-000113,82,01/02/2025,USD 266.63,DEBIT CARD, Add-on
Q1-TX-000114,792,11-03-2025,USD 97.01,debit card, Add-on
Q1-TX-000115,131,14/01/2025,USD 108.73,Bank Transfer,Upgrade
Q1-TX-000116,813,01/30/2025,327.94 USD,debit card,upgrade
Q1-TX-000117,1095,03/14/2025,$-415.53, PayPal,REFUND
Q1-TX-000118,500,01/24/2025,556.03,Bank Transfer ,Upgrade 
Q1-TX-000119,86,"Mar 26, 2025",130.05, Debit Card ,UPGRADE
Q1-TX-000120,1243,05/01/2025,668.37 USD,BANK TRANSFER,subscription
Q1-TX-000121,759,28 Mar 2025,$-235,CREDIT CARD,refund
Q1-TX-000122,863,21/01/2025,USD -159.16, Bank Transfer, Refund 
Q1-TX-000123,159,03/08/2025,USD 56.01,paypal, Add-on
Q1-TX-000124,1031,01/07/2025,409.14,credit card,Add-on
Q1-TX-000125,454,29 Jan 2025,256.12,Debit Card,Add-on
Q1-TX-000126,1416,"Jan 25, 2025",USD 669.70,BANK TRANSFER, Add-on
Q1-TX-000127,52,01/03/2025,USD 152.95,DEBIT CARD, Add-on 
Q1-TX-000128,127,2025-03-20,$479.09,Credit Card ,Subscription
Q1-TX-000129,60,03/15/2025,228.64 USD,Bank Transfer ,Add-on 
Q1-TX-000130,1096,30/01/2025,$114.55, Credit Card,Subscription 
Q1-TX-000131,1037,09-01-2025,276.56,Credit Card , Subscription
Q1-TX-000132,835,08/02/2025,173.78, Debit Card , Add-on 
Q1-TX-000133,343,31 Jan 2025,$-437,PayPal,Refund
Q1-TX-000134,78,15-03-2025,251.03 USD,PayPal , Upgrade
Q1-TX-000135,879,2025-03-22,75.92 USD,paypal, Subscription
Q1-TX-000136,1433,2025-02-04,46.40, PayPal , Upgrade
Q1-TX-000137,118,02/26/2025,USD 348.76, Credit Card ,Subscription
Q1-TX-000138,347,03/27/2025,USD 311.68,Bank Transfer,upgrade
Q1-TX-000139,1472,11 Jan 2025,$386,PayPal,Upgrade 
Q1-TX-000140,1274,01/02/2025,494.95 USD, Bank Transfer,upgrade
Q1-TX-000141,515,23/01/2025,,Credit Card, Refund 
Q1-TX-000142,572,14/01/2025,-94.77,CREDIT CARD, Refund 
Q1-TX-000143,490,"Feb 03, 2025",-277.93 USD,paypal, Refund
Q1-TX-000144,913,02-03-2025,719.99 USD, Credit Card ,Subscription 
Q1-TX-000145,835,2025-03-29,187.97,PAYPAL, Add-on 
Q1-TX-000146,1150,09 Feb 2025,203.00, Debit Card, Subscription 
Q1-TX-000147,76,14/01/2025,137.88, Bank Transfer , Subscription
Q1-TX-000148,1107,13-03-2025,USD -334.58,Debit Card ,Refund
Q1-TX-000149,576,"Jan 16, 2025",$-415.39,PAYPAL,Refund 
Q1-TX-000150,777,01/25/2025,-149.91 USD, Debit Card , Refund
Q1-TX-000151,102,21-02-2025,93.01 USD,debit card, Upgrade
Q1-TX-000152,1301,15/02/2025,$-17.80, PayPal , Refund 
Q1-TX-000153,407,2025-03-21,255.07 USD,PayPal , Subscription
Q1-TX-000154,1165,08/01/2025,-115.82, Bank Transfer, Refund 
Q1-TX-000155,337,18/01/2025,67.05,BANK TRANSFER, Upgrade
Q1-TX-000156,1268,25-03-2025,USD 166.16, PayPal ,Upgrade 
Q1-TX-000157,777,31-03-2025,$236,Credit Card , Upgrade
Q1-TX-000158,404,19/02/2025,$-112.04,PAYPAL,Refund
Q1-TX-000159,554,"Feb 10, 2025",466.52, Debit Card ,Add-on 
Q1-TX-000160,927,2025-02-02,USD 96.31, Debit Card,ADD-ON
Q1-TX-000161,1046,02/19/2025,USD 335.01,DEBIT CARD, Add-on 
Q1-TX-000162,1492,2025-03-13,$302,Credit Card ,Upgrade
Q1-TX-000163,107,11 Feb 2025,135.67,Bank Transfer,add-on
Q1-TX-000164,1333,28-01-2025,USD 314.52, PayPal,ADD-ON
Q1-TX-000165,1091,03/28/2025,USD 211.94,BANK TRANSFER,Subscription
Q1-TX-000166,932,08/02/2025,USD 313.20,PayPal ,Add-on
Q1-TX-000167,665,"Feb 18, 2025",227.84,CREDIT CARD,subscription
Q1-TX-000168,163,19-02-2025,$-62, Debit Card,Refund 
Q1-TX-000169,799,10-01-2025,USD -38.31,PayPal,REFUND
Q1-TX-000170,320,03/12/2025,534.87, Bank Transfer,Subscription
Q1-TX-000171,1416,11/02/2025,$51.50,DEBIT CARD,Subscription
Q1-TX-000172,286,2025-02-10,-216.50 USD, Bank Transfer , Refund 
Q1-TX-000173,719,15/01/2025,132.60, PayPal,subscription
Q1-TX-000174,509,"Mar 17, 2025",-178.55,Debit Card ,Refund
Q1-TX-000175,774,16/02/2025,390.61, Debit Card , Upgrade
Q1-TX-000176,1069,2025-02-17,$176,Credit Card, Add-on 
Q1-TX-000177,101,14-01-2025,$-359, PayPal ,Refund
Q1-TX-000178,861,01/14/2025,-504.75 USD,Debit Card, Refund
Q1-TX-000179,286,03/01/2025,297.22,Bank Transfer, Add-on
Q1-TX-000180,358,"Mar 25, 2025",103.90,PAYPAL,Subscription 
Q1-TX-000181,220,11/03/2025,-186.29 USD,PayPal , Refund
Q1-TX-000182,309,15 Feb 2025,$328,Credit Card,ADD-ON
Q1-TX-000183,621,2025-02-20,$-202, PayPal ,Refund 
Q1-TX-000184,81,02/08/2025,$109.69,BANK TRANSFER,Upgrade 
Q1-TX-000185,965,27/01/2025,USD 441.40,Credit Card,Subscription 
Q1-TX-000186,1388,20-02-2025,$163,Debit Card , Add-on
Q1-TX-000187,199,01/07/2025,384.20,bank transfer,Add-on 
Q1-TX-000188,421,15/03/2025,$187.26, Bank Transfer ,Add-on 
Q1-TX-000189,1312,"Feb 23, 2025",-184.26 USD, PayPal,refund
Q1-TX-000190,511,07 Jan 2025,$-163, PayPal,Refund
Q1-TX-000191,578,"Mar 03, 2025",754.81, Debit Card,UPGRADE
Q1-TX-000192,1332,"Mar 10, 2025",$83, Credit Card ,Add-on
Q1-TX-000193,526,"Mar 27, 2025",$-292, PayPal,REFUND
Q1-TX-000194,1008,2025-02-27,USD 249.01,BANK TRANSFER,upgrade
Q1-TX-000195,808,01/10/2025,$-307.03,bank transfer,REFUND
Q1-TX-000196,821,04-02-2025,USD 70.43, Credit Card ,Add-on
Q1-TX-000197,183,26-02-2025,-342.87 USD,PayPal,refund
Q1-TX-000198,1173,"Feb 05, 2025",$90.23, PayPal ,upgrade
Q1-TX-000199,1467,06-01-2025,509.49 USD, Bank Transfer,UPGRADE
Q1-TX-000200,837,22/01/2025,90.93,BANK TRANSFER,Upgrade 
Q1-TX-000201,649,29/01/2025,USD 190.04,PayPal ,subscription
Q1-TX-000202,197,05-01-2025,$196,Debit Card ,SUBSCRIPTION
Q1-TX-000203,716,2025-01-13,USD 369.43,BANK TRANSFER,Add-on 
Q1-TX-000204,287,03/25/2025,USD 456.44, Debit Card,Subscription 
Q1-TX-000205,224,01/07/2025,322.60,PayPal,SUBSCRIPTION
Q1-TX-000206,946,2025-01-28,USD -256.51,CREDIT CARD,refund
Q1-TX-000207,1483,2025-03-07,USD 524.31,BANK TRANSFER, Upgrade
Q1-TX-000208,1098,01/26/2025,523.48 USD,Credit Card,Add-on
Q1-TX-000209,1232,16 Jan 2025,$-313,PayPal, Refund
Q1-TX-000210,720,03-03-2025,350.10,PayPal , Subscription
Q1-TX-000211,450,17/02/2025,USD 206.71, Bank Transfer,UPGRADE
Q1-TX-000212,313,"Feb 27, 2025",750.12,Debit Card,Upgrade
Q1-TX-000213,701,20/01/2025,$148, Debit Card ,Add-on 
Q1-TX-000214,464,"Mar 23, 2025",$287, Bank Transfer, Upgrade 
Q1-TX-000215,1201,24 Jan 2025,-516.64, Credit Card, Refund 
Q1-TX-000216,1277,2025-01-24,$-545,debit card,refund
Q1-TX-000217,1095,25 Mar 2025,$282.28,Debit Card , Upgrade
