transaction_id,user_id,transaction_date,transaction_amount,payment_method,transaction_type
Q2-TX-000001,628,28/04/2025,163.69,BANK TRANSFER,Add-on 
Q2-TX-000002,1452,20 Apr 2025,$-161, Bank Transfer,Refund 
Q2-TX-000003,1119,04/05/2025,-99.48 USD, Debit Card ,Refund
Q2-TX-000004,130,26-04-2025,$176,credit card,SUBSCRIPTION
Q2-TX-000005,883,11-06-2025,42.00,Credit Card ,SUBSCRIPTION
Q2-TX-000006,1008,2025-05-29,$183.92,BANK TRANSFER,SUBSCRIPTION
Q2-TX-000007,1419,04 May 2025,118.07,bank transfer,SUBSCRIPTION
Q2-TX-000008,943,"Jun 08, 2025",$-114.09,PayPal , Refund
Q2-TX-000009,134,02-05-2025,280.41 USD, Debit Card , Add-on
Q2-TX-000010,794,24-04-2025,USD 289.81,Credit Card, Upgrade 
Q2-TX-000011,178,"May 21, 2025",USD -154.41, PayPal ,Refund
Q2-TX-000012,1308,04/12/2025,$-81.48, Credit Card , Refund 
Q2-TX-000013,404,"May 10, 2025",224.93 USD,Debit Card,Upgrade 
Q2-TX-000014,313,23-05-2025,USD 150.50,Debit Card ,Upgrade 
Q2-TX-000015,1159,2025-06-01,$335.38,Credit Card ,Subscription
Q2-TX-000016,879,2025-05-20,$277.86,bank transfer,UPGRADE
Q2-TX-000017,1140,20/06/2025,,Credit Card ,Upgrade
Q2-TX-000018,187,04/27/2025,$29,debit card, Upgrade 
Q2-TX-000019,124,2025-05-13,526.47 USD,PayPal, Subscription 
Q2-TX-000020,970,16 May 2025,231.04 USD, PayPal,Add-on 
Q2-TX-000021,111,06-04-2025,$-36.78,BANK TRANSFER, Refund 
Q2-TX-000022,364,21/06/2025,168.38 USD,Debit Card,upgrade
Q2-TX-000023,1230,06/15/2025,$200.89, Credit Card , Subscription
Q2-TX-000024,242,04/14/2025,$448,BANK TRANSFER,Subscription 
Q2-TX-000025,1160,13-04-2025,$292.99, PayPal,add-on
Q2-TX-000026,17,"Apr 16, 2025",251.57 USD, Bank Transfer ,Add-on 
Q2-TX-000027,28,07-05-2025,-204.32,Credit Card , Refund 
Q2-TX-000028,917,01 May 2025,179.25,bank transfer,Upgrade
Q2-TX-000029,116,17 May 2025,58.28 USD, Debit Card,Add-on
Q2-TX-000030,1253,25 Apr 2025,USD -236.85,Debit Card,Refund 
Q2-TX-000031,1243,06/04/2025,$99.99,PAYPAL,Add-on
Q2-TX-000032,893,29/04/2025,124.91 USD,Debit Card ,Subscription 
Q2-TX-000033,1213,26 Apr 2025,300.60,PayPal,UPGRADE
Q2-TX-000034,136,05/04/2025,-119.26,debit card, Refund
Q2-TX-000035,942,08-04-2025,$40.50,PAYPAL,upgrade
Q2-TX-000036,716,04/06/2025,$171, Debit Card,Subscription
Q2-TX-000037,975,06/06/2025,35.65, Credit Card ,add-on
Q2-TX-000038,15,05/27/2025,$214.58, PayPal,Add-on
Q2-TX-000039,794,2025-06-17,318.89 USD,PayPal,Upgrade
Q2-TX-000040,738,2025-06-02,$-181.15,PayPal , Refund 
Q2-TX-000041,1403,07 Apr 2025,-50.57,PayPal,refund
Q2-TX-000042,262,11-04-2025,344.99,bank transfer,UPGRADE
Q2-TX-000043,633,11/04/2025,467.59, Debit Card ,upgrade
Q2-TX-000044,1399,06/12/2025,$168.33, PayPal ,Subscription
Q2-TX-000045,1423,04/23/2025,124.83, Credit Card,UPGRADE
Q2-TX-000046,975,2025-05-22,-58.23,credit card, Refund 
Q2-TX-000047,1200,13-05-2025,-219.73, Credit Card ,REFUND
Q2-TX-000048,265,08/05/2025,$-416, Bank Transfer ,Refund
Q2-TX-000049,344,"May 10, 2025",USD 60.16, PayPal,SUBSCRIPTION
Q2-TX-000050,907,2025-05-19,$31.45,Bank Transfer , Add-on
Q2-TX-000051,168,25/06/2025,172.03 USD, Bank Transfer ,Subscription
Q2-TX-000052,1032,22 May 2025,-61.11, Bank Transfer , Refund 
Q2-TX-000053,719,"Apr 24, 2025",$199.03, PayPal ,UPGRADE
Q2-TX-000054,1131,22-05-2025,-243.27,CREDIT CARD,refund
Q2-TX-000055,453,2025-05-30,-252.03,CREDIT CARD, Refund
Q2-TX-000056,861,"May 05, 2025",USD 296.24,Debit Card ,upgrade
Q2-TX-000057,715,04 May 2025,524.42 USD, Debit Card ,Add-on
Q2-TX-000058,168,04/04/2025,$343,Credit Card,Add-on
Q2-TX-000059,229,13-05-2025,359.95 USD,Bank Transfer, Add-on 
Q2-TX-000060,677,2025-05-13,72.97 USD,PAYPAL,add-on
Q2-TX-000061,561,24/04/2025,$-212,PayPal, Refund
Q2-TX-000062,878,2025-05-13,433.24, Credit Card,SUBSCRIPTION
Q2-TX-000063,9,12-04-2025,135.11 USD,PayPal , Add-on 
Q2-TX-000064,598,23/06/2025,$334,DEBIT CARD, Add-on 
Q2-TX-000065,1168,04 Jun 2025,607.26 USD, Credit Card , Upgrade 
Q2-TX-000066,1320,2025-05-07,98.55,Credit Card,upgrade
Q2-TX-000067,315,2025-04-16,$59.62,DEBIT CARD,add-on
Q2-TX-000068,473,"Jun 19, 2025",$256.53,Bank Transfer ,SUBSCRIPTION
Q2-TX-000069,110,19 Jun 2025,-190.36 USD,BANK TRANSFER,REFUND
Q2-TX-000070,1449,06/02/2025,495.72, PayPal ,SUBSCRIPTION
Q2-TX-000071,947,04/10/2025,$-83.98,CREDIT CARD,REFUND
Q2-TX-000072,778,23-05-2025,421.74,debit card, Subscription 
Q2-TX-000073,900016,05 May 2025,184.40, PayPal ,upgrade
Q2-TX-000074,734,2025-06-09,USD 120.05, Credit Card ,Upgrade
Q2-TX-000075,838,02/04/2025,213.40,Debit Card, Add-on 
Q2-TX-000076,1336,05-05-2025,$155,debit card,add-on
