transaction_id,user_id,transaction_date,amount,payment_type,transaction_type,source_system
Q3-TX-000001,918,2025-07-16,USD 209.38,Bank Transfer, Subscription ,Legacy Billing
Q3-TX-000002,338,09/25/2025,212.29, Credit Card ,add-on,Legacy Billing
Q3-TX-000003,1039,03-08-2025,USD 341.01, Credit Card ,ADD-ON,Legacy Billing
Q3-TX-000004,361,2025-08-25,665.58 USD,Credit Card ,Add-on,Legacy Billing
Q3-TX-000005,1098,09/23/2025,USD -152.49,debit card,refund,Legacy Billing
Q3-TX-000006,997,"Aug 02, 2025",343.45, Credit Card , Upgrade,Legacy Billing
Q3-TX-000007,790,07/30/2025,503.47, PayPal,Upgrade ,Legacy Billing
Q3-TX-000008,500,27-09-2025,496.54,debit card,Upgrade,Legacy Billing
Q3-TX-000009,220,18-09-2025,369.48, PayPal,Upgrade,Legacy Billing
Q3-TX-000010,1340,2025-09-19,$447, Debit Card,UPGRADE,Legacy Billing
Q3-TX-000011,1295,20-09-2025,185.01, Bank Transfer,Upgrade,Legacy Billing
Q3-TX-000012,704,07 Jul 2025,155.90 USD,DEBIT CARD, Subscription,Legacy Billing
Q3-TX-000013,590,"Aug 13, 2025",$28,Bank Transfer,subscription,Legacy Billing
Q3-TX-000014,1138,"Jul 27, 2025",160.22,CREDIT CARD,Add-on,Legacy Billing
Q3-TX-000015,353,"Aug 02, 2025",$174,Debit Card,add-on,Legacy Billing
Q3-TX-000016,1365,02-07-2025,USD -44.86,credit card,Refund,Legacy Billing
Q3-TX-000017,223,12/09/2025,USD 108.17,BANK TRANSFER, Upgrade,Legacy Billing
Q3-TX-000018,773,2025-07-29,625.67,Bank Transfer,Subscription ,Legacy Billing
Q3-TX-000019,865,04 Jul 2025,USD 209.55,Bank Transfer , Upgrade,Legacy Billing
Q3-TX-000020,784,07/01/2025,110.32, Debit Card,add-on,Legacy Billing
Q3-TX-000021,1133,2025-09-04,$-192.38,Bank Transfer,Refund ,Legacy Billing
Q3-TX-000022,579,09/28/2025,-256.48 USD, Credit Card ,Refund,Legacy Billing
Q3-TX-000023,287,"Jul 20, 2025",$-216,DEBIT CARD,refund,Legacy Billing
Q3-TX-000024,354,"Aug 20, 2025",$134, Debit Card, Upgrade,Legacy Billing
Q3-TX-000025,1218,2025-08-26,USD 349.68, PayPal , Add-on,Legacy Billing
Q3-TX-000026,383,"Jul 07, 2025",$769,Debit Card,upgrade,Legacy Billing
Q3-TX-000027,199,16/09/2025,$-422.13, Credit Card, Refund ,Legacy Billing
Q3-TX-000028,1118,09 Aug 2025,$190.55,Credit Card,UPGRADE,Legacy Billing
