transaction_id,user_id,transaction_date,transaction_amount,payment_type,transaction_type,currency
Q4-TX-000001,1165,"Nov 18, 2025",$273.37,Credit Card, Subscription,US Dollar
Q4-TX-000002,443,11/12/2025,126.41,debit card,Upgrade,usd
Q4-TX-000003,340,03-11-2025,USD 260.82,bank transfer,Upgrade,usd
Q4-TX-000004,1116,2025-11-24,368.91,paypal,add-on,USD
Q4-TX-000005,726,17/10/2025,302.15 USD, Bank Transfer ,SUBSCRIPTION,USD
Q4-TX-000006,1098,30 Oct 2025,USD 195.52,Credit Card ,ADD-ON,USD
Q4-TX-000007,1184,17/11/2025,70.47 USD,Debit Card,UPGRADE,USD
Q4-TX-000008,504,24-12-2025,276.85 USD,Credit Card,Upgrade ,USD
Q4-TX-000009,1126,23 Dec 2025,$440,Credit Card , Subscription,US Dollar
Q4-TX-000010,799,13 Oct 2025,$158.29,Bank Transfer,Subscription,usd
Q4-TX-000011,691,2025-11-04,261.94,Credit Card,Upgrade ,USD
Q4-TX-000012,153,2025-10-21,$499,PayPal, Subscription,US Dollar
Q4-TX-000013,842,"Nov 19, 2025",$169.64,Debit Card,Subscription,usd
Q4-TX-000014,1164,27-12-2025,$113,BANK TRANSFER,Upgrade,USD
Q4-TX-000015,1275,10/12/2025,$-248.47,paypal,Refund ,US Dollar
Q4-TX-000016,231,2025-11-23,USD 271.11,PAYPAL,SUBSCRIPTION,USD
Q4-TX-000017,1106,2025-11-24,$210, Credit Card ,Add-on,USD
Q4-TX-000018,275,24 Oct 2025,$268.06, Credit Card,Upgrade ,usd
Q4-TX-000019,580,07 Dec 2025,$-176, Bank Transfer , Refund ,US Dollar
Q4-TX-000020,790,12/10/2025,302.45, PayPal, Upgrade,usd
Q4-TX-000021,106,11/22/2025,108.26,BANK TRANSFER,Upgrade ,USD
Q4-TX-000022,583,09 Nov 2025,175.59, Bank Transfer , Subscription,USD
Q4-TX-000023,1147,06-11-2025,$143.80,credit card,SUBSCRIPTION,USD
Q4-TX-000024,142,07 Nov 2025,$-163.97, Bank Transfer , Refund,usd
Q4-TX-000025,400,2025-11-14,USD 240.13,Debit Card,Subscription ,USD
Q4-TX-000026,858,17-10-2025,149.72, Bank Transfer,upgrade,US Dollar
Q4-TX-000027,1348,22-10-2025,-138.58, Bank Transfer, Refund ,USD
Q4-TX-000028,963,25-12-2025,528.73 USD,Debit Card ,Add-on,usd
Q4-TX-000029,293,"Dec 13, 2025",$602,CREDIT CARD,Subscription,USD
Q4-TX-000030,903,2025-12-28,355.45 USD,PAYPAL,Add-on ,US Dollar
Q4-TX-000031,341,23 Dec 2025,384.58,Credit Card , Add-on ,US Dollar
Q4-TX-000032,18,10/10/2025,$193.72, Credit Card , Upgrade,usd
Q4-TX-000033,405,28-11-2025,-331.56,debit card, Refund ,USD
Q4-TX-000034,1482,"Oct 16, 2025",USD -503.40, PayPal ,Refund ,usd
Q4-TX-000035,133,11/19/2025,$213.18,Bank Transfer,UPGRADE,US Dollar
Q4-TX-000036,1268,"Nov 16, 2025",202.52 USD,DEBIT CARD, Add-on ,usd
Q4-TX-000037,466,18-12-2025,111.49 USD,Credit Card,UPGRADE,USD
Q4-TX-000038,385,"Oct 26, 2025",-25.22 USD, Credit Card,refund,USD
Q4-TX-000039,1367,31/10/2025,USD 271.21,Bank Transfer , Add-on,US Dollar
Q4-TX-000040,73,2025-10-22,342.04,debit card,Add-on ,US Dollar
Q4-TX-000041,764,18/12/2025,234.69 USD, Debit Card ,ADD-ON,US Dollar
Q4-TX-000042,1207,07/11/2025,205.11,paypal,add-on,US Dollar
Q4-TX-000043,283,02 Dec 2025,51.91,BANK TRANSFER,Upgrade,US Dollar
Q4-TX-000044,479,10/10/2025,97.10,Credit Card, Subscription,USD
Q4-TX-000045,1366,26 Dec 2025,$372.31, Debit Card , Add-on,USD
Q4-TX-000046,42,23-10-2025,USD -395.94, PayPal, Refund ,USD
Q4-TX-000047,248,11/10/2025,USD -31.80, Credit Card ,Refund,usd
Q4-TX-000048,695,25/10/2025,$604,Debit Card ,UPGRADE,usd
